event_id,room_id,room,room_slug,mode,repetition,event_index,source_filename,input_file,prediction_file,prediction_row,selected_for_paper,selected_for_demo,source_clipped,pre_clap_snr_db,valid_input_samples,valid_input_duration_s,sample_rate,duration_s,recorded_audio,inferred_audio,prediction_checkpoint,checkpoint_sha256,selection_rule,input_sha256,prediction_array_sha256
room02_A2_r1_event21,2,Highly reverberant hallway,highly_reverberant_hallway,A2,1,21,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev21_A2_r1.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch056.npy,4,False,False,False,29.408526931064927,40352,0.9150113378684808,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/A2_r1.wav,audio/inferred_rirs/highly_reverberant_hallway/A2_r1.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,44b9a38c53084726607cb3fe0033ee4513e371afd82b99a79684954451679c25,a3096945f3623c015ec52c200674c7de45c6cfbedabaf464c2583cc3783b15e3
room02_A2_r2_event22,2,Highly reverberant hallway,highly_reverberant_hallway,A2,2,22,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev22_A2_r2.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch056.npy,5,False,False,False,29.880569429064025,40193,0.91140589569161,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/A2_r2.wav,audio/inferred_rirs/highly_reverberant_hallway/A2_r2.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,4f1569a6b6b16737783500ea74c5825965360ad9f0550340ccce37d0d91e0ded,db52ccc2eae75fab9e5ea438cadf7ed8e565d8d4650da6c843140fc91ae1f6db
room02_A2_r3_event23,2,Highly reverberant hallway,highly_reverberant_hallway,A2,3,23,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev23_A2_r3.wav,reports/phone_spectral_review/predictions.npz,12,True,True,False,31.381231027769235,42116,0.9550113378684807,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/A2_r3.wav,audio/inferred_rirs/highly_reverberant_hallway/A2_r3.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,"M4A normal protocol claps only, exclude clipped; highest existing pre-clap SNR per room/mode; event-index then filename tie break; all eight modes in protocol order",0e12e7779f243e71718da79d76929926a8891cbbdc1fba8007e48e3cda5089ae,b3f349f3f611cc2c557f0cb09c54c907e9c77a48fa7d9a1b00a6e33ae2a3b9ec
room02_A2_r4_event24,2,Highly reverberant hallway,highly_reverberant_hallway,A2,4,24,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev24_A2_r4.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch056.npy,7,False,False,False,29.404717990467034,43682,0.9905215419501133,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/A2_r4.wav,audio/inferred_rirs/highly_reverberant_hallway/A2_r4.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,3d5605c912cf1725e5372bd44eba98346c03b17938d59f2701b6472cf5b2d1fc,3ca23dba58428330e782a22d48dde7e2e253b9ac62eb5fce5a27af55183b8a58
room02_A2_r5_event25,2,Highly reverberant hallway,highly_reverberant_hallway,A2,5,25,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev25_A2_r5.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch064.npy,0,False,False,False,30.53995781262755,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/A2_r5.wav,audio/inferred_rirs/highly_reverberant_hallway/A2_r5.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,0b8c2cee5bb6143f3516f634c1013d3a2374cc163d5a1691c223e973c08f4e82,69f832093b19f9f0207e1f5ec6d4e035e05d59ffeb7a62796446744a6ffbc49e
room02_A3_r1_event26,2,Highly reverberant hallway,highly_reverberant_hallway,A3,1,26,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev26_A3_r1.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch064.npy,1,False,False,False,29.01049811007515,39539,0.8965759637188209,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/A3_r1.wav,audio/inferred_rirs/highly_reverberant_hallway/A3_r1.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,405ba547438d373cf540d3e533a8528cef6c0cde5f8f752db3f3831556cb4eeb,afdaa786e8e5bc578e7d0fdea40d44090cad5648bae1da24b924348db26f6773
room02_A3_r2_event27,2,Highly reverberant hallway,highly_reverberant_hallway,A3,2,27,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev27_A3_r2.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch064.npy,2,False,False,False,27.063080583392363,40727,0.9235147392290249,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/A3_r2.wav,audio/inferred_rirs/highly_reverberant_hallway/A3_r2.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,069900b3b38304f4aa1143cc5767c5887b4b81e07767061343453f8e3c240b74,4ea19a2b3c9d07fbdf0a086ccd8f2a0bcd43ff9b50778f060c9275cfef20c28c
room02_A3_r3_event28,2,Highly reverberant hallway,highly_reverberant_hallway,A3,3,28,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev28_A3_r3.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch064.npy,3,False,False,False,28.181611449311678,43445,0.9851473922902494,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/A3_r3.wav,audio/inferred_rirs/highly_reverberant_hallway/A3_r3.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,e5b602bb9970a25fbda9182e9fb3378e59996f67712223d6604449476c31535f,d3226873431c7e29e36bf3087ffe30e6a50de171f5124ef9f4e9652ccc1ea413
room02_A3_r4_event29,2,Highly reverberant hallway,highly_reverberant_hallway,A3,4,29,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev29_A3_r4.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch064.npy,4,False,False,False,30.873464453139555,41815,0.9481859410430838,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/A3_r4.wav,audio/inferred_rirs/highly_reverberant_hallway/A3_r4.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,9eaf5a16dd2f67ac7d69bb8d7906724e028c7f476f19057495629c06bd063fd1,4fb30ad8800970614299b21fab5c9e7a93a2d373984c40ad8b1257e19b10e27b
room02_A3_r5_event30,2,Highly reverberant hallway,highly_reverberant_hallway,A3,5,30,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev30_A3_r5.wav,reports/phone_spectral_review/predictions.npz,13,True,True,False,31.644718120982372,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/A3_r5.wav,audio/inferred_rirs/highly_reverberant_hallway/A3_r5.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,"M4A normal protocol claps only, exclude clipped; highest existing pre-clap SNR per room/mode; event-index then filename tie break; all eight modes in protocol order",beffeff96e6d3e3b776a9f889746efb605cba4874c5ba2df617a748fd8e1c73d,f1b7c0a057d26ecc48b70ff4a9bd7989e1aad6c79c39ab06585b079aa651a4a9
